X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,L,W,S,DayAhead
1,55.09,59.13,24.67,44.33583333333333,28.22,61.04,32.43,54.6685,4.54625,7.01875,42.92
1,52.93,56.0,24.63,44.33583333333333,28.22,61.04,32.43,55.6775,5.54975,9.9125,39.13
1,50.85,52.46,23.53,44.33583333333333,28.22,61.04,32.43,54.86625,6.5595,11.51275,29.42
1,47.8,51.05,20.24,44.33583333333333,28.22,61.04,32.43,52.74725,6.93,11.70575,27.31
1,46.8,50.78,21.94,44.33583333333333,28.22,61.04,32.43,50.95525,6.98875,10.85125,28.03
1,45.17,50.22,23.52,44.33583333333333,28.22,61.04,32.43,50.00925,7.558,8.8615,28.94
1,44.48,50.0,24.05,44.33583333333333,28.22,61.04,32.43,49.7275,8.526,5.54825,31.62
1,46.66,51.69,31.88,44.33583333333333,28.22,61.04,32.43,50.87875,8.94475,2.03525,36.14
1,49.56,55.99,40.3,44.33583333333333,28.22,61.04,32.43,52.89625,9.989,0.18525,42.97
1,55.44,72.7,47.01,44.33583333333333,28.22,61.04,32.43,54.9875,12.15,0.0,42.99
1,49.99,58.04,41.95,44.33583333333333,28.22,61.04,32.43,51.8435,13.70575,0.0,35.06
1,40.07,43.98,37.79,44.33583333333333,28.22,61.04,32.43,49.10675,14.3745,0.0,30.07
1,36.47,40.99,40.28,44.33583333333333,28.22,61.04,32.43,47.453,14.2875,0.0,29.06
1,32.43,35.06,30.35,44.33583333333333,28.22,61.04,32.43,44.31525,13.8965,0.0,23.55
1,32.46,33.12,27.63,33.64458333333334,23.55,43.97,23.55,40.70225,13.26175,0.0,19.71
1,28.53,32.02,27.01,33.64458333333334,23.55,43.97,23.55,38.558,12.97475,0.0,18.94
1,32.21,30.26,26.82,33.64458333333334,23.55,43.97,23.55,37.39325,12.88325,0.0,19.03
1,30.35,28.22,24.0,33.64458333333334,23.55,43.97,23.55,37.15875,12.8075,0.0,19.21
1,29.95,30.47,25.7,33.64458333333334,23.55,43.97,23.55,37.654,12.42,0.0,19.45
1,31.01,32.09,26.13,33.64458333333334,23.55,43.97,23.55,37.8375,12.2745,0.0,19.01
1,32.88,46.62,26.14,33.64458333333334,23.55,43.97,23.55,38.01275,12.4125,0.0,19.03
1,36.0,55.48,27.52,33.64458333333334,23.55,43.97,23.55,39.83625,12.7535,0.0705,19.52
1,42.9,61.04,30.02,33.64458333333334,23.55,43.97,23.55,43.078,12.36225,1.92775,20.82
1,43.97,61.0,31.95,33.64458333333334,23.55,43.97,23.55,46.06725,10.48,6.426,20.62
1,42.92,55.09,30.53,33.64458333333334,23.55,43.97,23.55,47.69975,10.28525,11.20325,20.2
1,39.13,52.93,31.62,33.64458333333334,23.55,43.97,23.55,50.09875,13.57675,14.8315,19.99
1,29.42,50.85,29.24,33.64458333333334,23.55,43.97,23.55,49.5795,14.967,16.93625,16.5
1,27.31,47.8,27.09,33.64458333333334,23.55,43.97,23.55,47.616,14.5825,17.70125,13.19
1,28.03,46.8,26.06,33.64458333333334,23.55,43.97,23.55,45.7085,14.54225,16.574,12.89
1,28.94,45.17,26.01,33.64458333333334,23.55,43.97,23.55,44.86075,15.05175,13.40075,13.1
1,31.62,44.48,25.44,33.64458333333334,23.55,43.97,23.55,44.8715,14.94925,8.58425,16.57
1,36.14,46.66,31.8,33.64458333333334,23.55,43.97,23.55,46.937,13.6335,3.241,23.35
1,42.97,49.56,40.48,33.64458333333334,23.55,43.97,23.55,50.28525,12.564,0.24075,35.23
1,42.99,55.44,46.99,33.64458333333334,23.55,43.97,23.55,53.41725,14.302,0.0,42.97
1,35.06,49.99,44.9,33.64458333333334,23.55,43.97,23.55,51.523,15.702,0.0,32.28
1,30.07,40.07,40.95,33.64458333333334,23.55,43.97,23.55,49.521,15.92275,0.0,29.13
1,29.06,36.47,40.41,33.64458333333334,23.55,43.97,23.55,48.63925,15.336,0.0,31.2
1,23.55,32.43,33.96,33.64458333333334,23.55,43.97,23.55,45.016,14.654,0.0,23.78
1,19.71,32.46,27.66,21.905,12.89,42.97,23.78,42.483,13.63925,0.0,23.09
1,18.94,28.53,26.68,21.905,12.89,42.97,23.78,40.896,12.701,0.0,19.6
1,19.03,32.21,26.82,21.905,12.89,42.97,23.78,40.182,11.90475,0.0,19.78
1,19.21,30.35,26.02,21.905,12.89,42.97,23.78,40.96075,11.08725,0.0,19.47
1,19.45,29.95,25.84,21.905,12.89,42.97,23.78,42.59925,10.365,0.0,19.64
1,19.01,31.01,28.25,21.905,12.89,42.97,23.78,47.062,10.11375,0.0,26.14
1,19.03,32.88,42.17,21.905,12.89,42.97,23.78,56.33575,10.20025,0.00025,40.73
1,19.52,36.0,52.0,21.905,12.89,42.97,23.78,63.058,10.007,0.1105,49.15
1,20.82,42.9,55.07,21.905,12.89,42.97,23.78,65.25775,8.81625,2.98425,49.88
1,20.62,43.97,53.01,21.905,12.89,42.97,23.78,65.851,6.49725,8.85575,42.0
1,20.2,42.92,51.56,21.905,12.89,42.97,23.78,66.265,5.632,14.0435,32.23
1,19.99,39.13,49.08,21.905,12.89,42.97,23.78,67.3935,7.04575,17.804,28.06
1,16.5,29.42,42.17,21.905,12.89,42.97,23.78,66.82575,8.24325,19.26925,26.4
1,13.19,27.31,40.4,21.905,12.89,42.97,23.78,65.808,7.8715,18.694,26.35
1,12.89,28.03,38.84,21.905,12.89,42.97,23.78,64.1,7.2715,16.37325,27.33
1,13.1,28.94,40.97,21.905,12.89,42.97,23.78,62.868,7.6115,12.327,29.08
1,16.57,31.62,41.38,21.905,12.89,42.97,23.78,61.3665,8.007,6.99825,32.65
1,23.35,36.14,44.61,21.905,12.89,42.97,23.78,61.608,7.93225,2.256,47.01
1,35.23,42.97,45.1,21.905,12.89,42.97,23.78,63.426,8.5415,0.15275,53.33
1,42.97,42.99,51.75,21.905,12.89,42.97,23.78,66.35975,9.92475,0.0,66.87
1,32.28,35.06,45.45,21.905,12.89,42.97,23.78,62.64575,10.76725,0.0,51.61
1,29.13,30.07,33.26,21.905,12.89,42.97,23.78,58.47275,11.114,0.0,41.51
1,31.2,29.06,28.06,21.905,12.89,42.97,23.78,54.9835,10.55775,0.0,32.72
