X0,W*,Forecast Wind,FW-1h,FW+1h,Wind
1,7.381,15.465,14.7905,16.01275,12.4435
1,8.2235,16.01275,15.465,16.22075,13.011
1,8.97975,16.22075,16.01275,16.31525,12.787
1,9.4365,16.31525,16.22075,16.405,12.35925
1,9.53225,16.405,16.31525,13.75125,11.86175
1,9.1375,13.75125,16.405,13.6755,11.2625
1,9.21225,13.6755,13.75125,13.3115,11.0605
1,9.1315,13.3115,13.6755,12.8075,11.2725
1,9.26175,12.8075,13.3115,12.296,10.99175
1,9.528,12.296,12.8075,11.82225,10.58175
1,10.3025,11.82225,12.296,11.43575,10.51675
1,10.632,11.43575,11.82225,11.077,10.2675
1,10.85425,11.077,11.43575,10.658,9.78525
1,10.8705,10.658,11.077,10.05925,9.289
1,10.35725,10.05925,10.658,9.37325,8.33525
1,9.9405,9.37325,10.05925,8.96,7.4625
1,10.677,8.96,9.37325,8.67825,7.906
1,11.09625,8.67825,8.96,8.30775,9.23925
1,11.563,8.30775,8.67825,7.47625,9.3735
1,12.1025,7.47625,8.30775,6.331,8.12275
