X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,66.78825,67.34225,65.31825,65.18725,2.541,2.5655,57.55112499999999,68.00725,42.4065,65.94475
1,0.0,0.0,0.0,67.7545,68.60625,66.2325,66.39125,2.35175,4.47425,57.55112499999999,68.00725,42.4065,66.99925
1,0.0,0.0,0.0,67.3505,69.53975,67.0405,68.00725,2.19125,6.03475,57.55112499999999,68.00725,42.4065,68.13275
1,0.0,0.0,0.0,66.69075,69.05725,65.9525,67.31475,2.0765,6.8375,57.55112499999999,68.00725,42.4065,67.7745
1,0.0,0.0,0.0,65.9025,68.3465,65.403,66.53175,2.00425,6.77725,57.55112499999999,68.00725,42.4065,66.8615
1,0.0,0.0,0.0,64.0595,66.60175,64.1425,64.6405,1.90375,6.02175,57.55112499999999,68.00725,42.4065,65.384
1,0.0,0.0,0.0,62.5255,65.30275,62.1725,62.93475,1.84775,4.75325,57.55112499999999,68.00725,42.4065,64.41975
1,0.0,0.0,0.0,61.06675,63.98725,60.16225,61.51225,1.82625,3.0815,57.55112499999999,68.00725,42.4065,62.9615
1,0.0,0.0,0.0,60.9475,64.016,59.73775,61.725,1.81675,1.32575,57.55112499999999,68.00725,42.4065,62.944
1,0.0,0.0,0.0,61.77225,65.26475,60.90425,62.722,1.8645,0.17725,57.55112499999999,68.00725,42.4065,64.19375
1,0.0,0.0,0.0,64.02875,67.4165,64.3065,64.755,1.9045,0.00225,57.55112499999999,68.00725,42.4065,65.92025
1,0.0,0.0,0.0,61.29625,64.224,62.468,61.61475,1.949,0.0,57.55112499999999,68.00725,42.4065,62.30025
1,0.0,0.0,0.0,57.36775,58.90675,58.11175,57.147,1.96875,0.0,57.55112499999999,68.00725,42.4065,57.981
1,0.0,0.0,0.0,53.234,53.894,53.60575,52.89,1.9445,0.0,57.55112499999999,68.00725,42.4065,53.909
1,0.0,0.0,0.0,48.54925,49.139,49.15575,48.5785,1.89225,0.0,57.55112499999999,68.00725,42.4065,49.012
1,0.0,0.0,0.0,45.5355,45.83825,46.0905,44.4095,1.14725,0.0,56.46484374999999,67.50725,41.5975,45.4665
1,0.0,0.0,0.0,43.79325,44.32725,44.25975,42.43675,1.1125,0.0,56.46484374999999,67.50725,41.5975,43.824
