X0,DA_Forecast,ID*,-FL,-FW,-FS,-FL_1d,-FW_1d,-FS_1d,Intraday
1,19.52,34.2732734620566,-39.6435,-10.77375,-0.16425,-46.4035,-4.1365,-0.10325,17.0901997404096
1,20.82,41.8745129682997,-42.81375,-10.65,-2.314,-49.45,-4.21,-1.12325,16.811650260269
1,20.62,43.0267880477393,-46.29925,-10.26,-6.8615,-52.5965,-4.09525,-3.4705,22.2092650569225
1,20.2,40.5005852972554,-48.6295,-10.0525,-11.85775,-54.47125,-4.06425,-6.5085,23.4274383353071
1,19.99,39.13,-50.996,-10.21675,-16.033,-55.987,-4.3005,-9.48075,22.948465600845
1,16.5,29.42,-50.56525,-10.875,-18.76525,-55.29925,-4.73475,-11.38975,17.4458760740544
1,13.19,27.31,-48.655,-11.62,-19.45325,-53.45675,-5.14025,-11.87975,6.0926705798713
1,12.89,28.03,-46.84475,-12.13325,-18.265,-51.2095,-5.474,-10.944,6.62882718208851
1,13.1,28.94,-45.775,-12.132,-14.9505,-50.0755,-5.92675,-8.813,7.78022146207975
1,16.57,31.62,-45.18125,-11.853,-9.55425,-49.105,-6.55875,-5.60525,11.3205894762221
1,23.35,36.14,-46.5525,-11.4745,-3.8245,-49.83,-7.2965,-2.3245,16.4308602081253
1,35.23,42.97,-48.77125,-10.96475,-0.44275,-51.0955,-8.199,-0.29125,30.5174908661897
1,42.97,42.99,-51.82475,-10.83025,-0.0015,-52.86525,-9.2325,-0.00175,37.2844816581203
1,32.28,35.06,-50.761,-11.055,-0.0,-50.79625,-9.993,-0.0,30.168500221533
1,29.13,30.07,-48.3465,-11.20575,-0.0,-47.69575,-10.44875,-0.0,23.8670094227728
1,31.2,29.06,-46.789,-11.136,-0.0,-45.4225,-10.712,-0.0,21.4886376256316
1,23.78,23.55,-43.29775,-10.78725,-0.0,-42.05875,-10.6325,-0.0,16.8774894144689
